embutidos;tipo;largura;altura;tamanho;nao_vazias;preenchidas;buracos;impossiveis;%possiveis;%interior;%borda
281;Boustrophedon ;48;51;2448;1216;1124;76;16;93.67;97.81;66.82
311;Boustrophedon ;58;59;3422;1367;1244;95;28;92.91;97.61;65.48
229;Varredura ;51;52;2652;1046;916;88;42;91.24;97.28;60.36
236;Boustrophedon ;52;49;2548;1054;944;77;33;92.46;97.62;64.45
307;Varredura ;57;61;3477;1393;1228;109;56;91.85;97.84;56.44
412;Boustrophedon ;53;51;2703;1760;1648;84;28;95.15;98.26;67.67
419;Boustrophedon ;59;52;3068;1812;1676;102;34;94.26;98.33;57.03
332;Espiral Crescente ;46;53;2438;1457;1328;92;37;93.52;99.07;57.55
492;Boustrophedon ;56;62;3472;2074;1968;90;16;95.63;98.73;68.56
332;Boustrophedon ;62;56;3472;1469;1328;112;29;92.22;97.63;60.76
338;Boustrophedon ;58;53;3074;1511;1352;135;24;90.92;97.97;58.72
373;Varredura ;57;62;3534;1667;1492;133;42;91.82;98.11;56.27
423;Boustrophedon ;61;59;3599;1910;1692;157;61;91.51;96.34;60.15
337;Boustrophedon ;51;54;2754;1456;1348;88;20;93.87;98.61;61.28
342;Varredura ;52;60;3120;1507;1368;113;26;92.37;97.7;55.47
256;Varredura ;46;42;1932;1106;1024;67;15;93.86;99.24;60.53
398;Varredura ;61;54;3294;1728;1592;110;26;93.54;98.21;59.85
290;Varredura ;52;48;2496;1284;1160;96;28;92.36;97.29;61.75
293;Boustrophedon ;49;52;2548;1300;1172;91;37;92.79;97.52;59.36
269;Boustrophedon ;53;49;2597;1175;1076;81;18;93.0;97.73;62.62
475;Boustrophedon ;61;59;3599;2068;1900;133;35;93.46;98.22;58.23
311;Varredura ;58;47;2726;1360;1244;90;26;93.25;98.15;65.47
485;Varredura ;55;50;2750;2031;1940;75;16;96.28;99.34;65.04
235;Boustrophedon ;48;53;2544;1085;940;112;33;89.35;97.09;58.5
283;Varredura ;55;50;2750;1268;1132;104;32;91.59;96.87;62.09
431;Boustrophedon ;56;59;3304;1931;1724;153;54;91.85;97.74;59.2
369;Varredura ;48;57;2736;1614;1476;108;30;93.18;97.45;62.86
353;Espiral Decrescente ;50;54;2700;1527;1412;79;36;94.7;96.85;70.93
415;Varredura ;48;63;3024;1787;1660;96;31;94.53;98.32;65.77
529;Varredura ;52;63;3276;2211;2116;67;28;96.93;99.54;68.15
212;Boustrophedon ;40;38;1520;939;848;71;20;92.27;97.91;56.4
363;Boustrophedon ;63;57;3591;1604;1452;127;25;91.96;97.83;60.76
357;Varredura ;57;48;2736;1539;1428;92;19;93.95;98.83;63.36
257;Varredura ;40;50;2000;1123;1028;76;19;93.12;98.79;60.38
